[DEBUG @ 23:05:11 | Chroma] GetAllGameObjects(354): GameCore.[1]PairLaserTrackLaneRing(Clone)
[DEBUG @ 23:05:11 | Chroma] GetAllGameObjects(354): GameCore.[1]PairLaserTrackLaneRing(Clone).[0]Ring
[DEBUG @ 23:05:11 | Chroma] GetAllGameObjects(354): GameCore.[1]PairLaserTrackLaneRing(Clone).[1]LaserL
[DEBUG @ 23:05:11 | Chroma] GetAllGameObjects(354): GameCore.[1]PairLaserTrackLaneRing(Clone).[1]LaserL.[0]BoxLight
[DEBUG @ 23:05:11 | Chroma] GetAllGameObjects(354): GameCore.[1]PairLaserTrackLaneRing(Clone).[1]LaserL.[1]BakedBloom
[DEBUG @ 23:05:11 | Chroma] GetAllGameObjects(354): GameCore.[1]PairLaserTrackLaneRing(Clone).[2]LaserR
[DEBUG @ 23:05:11 | Chroma] GetAllGameObjects(354): GameCore.[1]PairLaserTrackLaneRing(Clone).[2]LaserR.[0]BoxLight
[DEBUG @ 23:05:11 | Chroma] GetAllGameObjects(354): GameCore.[1]PairLaserTrackLaneRing(Clone).[2]LaserR.[1]BakedBloom
[DEBUG @ 23:05:11 | Chroma] GetAllGameObjects(354): GameCore.[1]PairLaserTrackLaneRing(Clone).[3]LaserLF
[DEBUG @ 23:05:11 | Chroma] GetAllGameObjects(354): GameCore.[1]PairLaserTrackLaneRing(Clone).[3]LaserLF.[0]BoxLight
[DEBUG @ 23:05:11 | Chroma] GetAllGameObjects(354): GameCore.[1]PairLaserTrackLaneRing(Clone).[3]LaserLF.[1]BakedBloom
[DEBUG @ 23:05:11 | Chroma] GetAllGameObjects(354): GameCore.[1]PairLaserTrackLaneRing(Clone).[4]LaserRF
[DEBUG @ 23:05:11 | Chroma] GetAllGameObjects(354): GameCore.[1]PairLaserTrackLaneRing(Clone).[4]LaserRF.[0]BoxLight
[DEBUG @ 23:05:11 | Chroma] GetAllGameObjects(354): GameCore.[1]PairLaserTrackLaneRing(Clone).[4]LaserRF.[1]BakedBloom
[DEBUG @ 23:05:11 | Chroma] GetAllGameObjects(354): GameCore.[1]PairLaserTrackLaneRing(Clone).[5]RotatingLasersPair
